"Name";"Level";"Casting Time";"Duration";"School";"Ritual";"Range";"Components";"Classes";"Optional/Variant Classes";"Subclasses";"Text"
"Przerażające więdnięcie Abi-Dalzima";"8";"Akcja";"Natychmiastowy";"Nekromancji";"False";"45m (30)";"W, S, M (trochę gąbki)";"";"Sorcerer, Wizard";"";"Wyciągasz wilgoć z każdej istoty w sześcianie o boku 9 m (6) wyśrodkowanym na wybranym przez ciebie punkcie w zasięgu. Każda istota w tym obszarze musi wykonać rzut obronny na Wytrzymałość. Nie ma to wpływu na konstrukty i nieumarłych, a rośliny i żywiołaki wody wykonują ten rzut obronny z niekorzyścią. Istota otrzymuje 12 d8 obrażeń nekrotycznych w przypadku nieudanego rzutu obronnego lub o połowę mniej w przypadku udanego rzutu obronnego. Znajdujące się na tym obszarze niemagiczne rośliny, które nie są stworzeniami, takie jak drzewa i krzewy, usychają i natychmiast umierają."
"Pochłonięcie żywiołów";"1";"Reakcja";"1 runda";"Odpychania";"False";"Na siebie";"S";"";"Artificer, Druid, Ranger, Sorcerer, Wizard";"Wizard (Abjurer), Rogue (Arcane Trickster), Bard (Lore), Fighter (Eldritch Knight)";"Zaklęcie przechwytuje część nadchodzącej energii, zmniejszając jej wpływ na ciebie i przechowując ją do następnego ataku w walce wręcz. Do początku następnej tury posiadasz odporność na obrażenia typu wyzwalającego zaklęcie. Ponadto, przy pierwszym trafieniu atakiem w walce wręcz w następnej turze, cel otrzymuje dodatkowe 1d6 obrażeń typu wyzwalającego, a zaklęcie wygasa.

Na wyższych poziomach: Na wyższych poziomach. Kiedy rzucasz to zaklęcie używając slotu zaklęć 2. poziomu lub wyższego, dodatkowe obrażenia wzrastają o 1d6 za każdy slot powyżej 1. poziomu."
"Kwasowy Rozprysk";"0";"Akcja";"Natychmiastowy";"Wywoływania";"False";"18m (12)";"W, S";"Sorcerer, Wizard";"";"Rogue (Arcane Trickster), Druid (Land (Tropical Land)), Bard (Lore), Fighter (Eldritch Knight), Wizard (Evoker)";"Tworzysz kwaśną bańkę w punkcie znajdującym się w zasięgu, która eksploduje, tworząc kulę o promieniu 1,5 m (1). Każda istota w tej kuli musi wykonać rzut obronny na Zręczność lub otrzymać 1d6 obrażeń od kwasu.

Na wyższych poziomach: Ulepszenie czaru. Obrażenia wzrastają o 1d6 po osiągnięciu poziomów 5 (2d6), 11 (3d6) i 17 (4d6)."
"Pogromca Aganazzara";"2";"Akcja";"Natychmiastowy";"Wywoływania";"False";"9m (6)";"W, S, M (łuska czerwonego smoka)";"";"Sorcerer, Wizard";"Rogue (Arcane Trickster), Bard (Lore), Fighter (Eldritch Knight), Wizard (Evoker)";"Linia ryczącego płomienia o długości 9 m (6) i szerokości 1,5 m (1) emanuje od ciebie w wybranym kierunku. Każda istota w linii musi wykonać rzut obronny na Zręczność. W przypadku nieudanego rzutu obronnego istota otrzymuje 3d8 obrażeń od ognia lub o połowę mniej w przypadku udanego rzutu obronnego.

Na wyższych poziomach: Na wyższych poziomach. Kiedy rzucasz to zaklęcie używając slotu zaklęć 3. poziomu lub wyższego, obrażenia wzrastają o 1d8 za każdy poziom slotu powyżej 2. poziomu."
"Pomoc";"2";"Akcja";"8 godz.";"Odpychania";"False";"9m (6)";"W, S, M (pasek białego materiału)";"Bard, Cleric, Druid, Paladin, Ranger";"";"Warlock (Celestial), Sorcerer (Clockwork), Sorcerer (Clockwork Soul), Bard (Lore), Sorcerer (Divine Soul), Cleric (Life), Paladin (Devotion), Cleric (Peace)";"Wybierz maksymalnie trzy istoty w zasięgu. Maksymalne i aktualne punkty wytrzymałości każdego celu wzrastają o 5 na czas działania.

Na wyższych poziomach: Użycie slotu na zaklęcie wyższego poziomu. Punkty wytrzymałości każdego celu wzrastają o 5 za każdy slot zaklęć na poziomie wyższym niż 2."
"Alarm";"1";"1 Min.";"8 godz.";"Odpychania";"True";"9m (6)";"W, S, M (dzwonek i srebrny drut)";"Ranger, Wizard";"";"Wizard (Abjurer), Rogue (Arcane Trickster), Sorcerer (Clockwork), Sorcerer (Clockwork Soul), Bard (Lore), Fighter (Eldritch Knight), Paladin (Watchers)";"Uruchamiasz alarm przed wtargnięciem. Wybierz drzwi, okno lub obszar w zasięgu, który nie jest większy niż sześcian o boku 6 m (4). Do czasu wygaśnięcia zaklęcia alarm powiadomi cię za każdym razem, gdy jakaś istota dotknie lub wejdzie na obszar objęty zaklęciem. Podczas rzucania zaklęcia możesz wskazać istoty, które nie uruchomią alarmu. Możesz również wybrać, czy alarm będzie dźwiękowy czy mentalny:Alarm dźwiękowy. Alarm emituje dźwięk dzwonka ręcznego przez 10 sekund w promieniu 18 m (12) od obszaru objętego ochroną.Alarm mentalny. Jeśli znajdujesz się w promieniu 1 mili od obszaru chronionego, zostaniesz zaalarmowany sygnałem mentalnym. Ten sygnał budzi cię, jeśli śpisz."
"Drugie ja";"2";"Akcja";"Koncentracja, do 1 godz.";"Przemiany";"False";"Na siebie";"W, S";"Sorcerer, Wizard";"";"Rogue (Arcane Trickster), Druid (Moon), Bard (Lore), Sorcerer (Draconic), Fighter (Eldritch Knight)";"Zmieniasz swoją formę fizyczną. Wybierz jedną z poniższych opcji. Efekty trwają przez cały czas, podczas którego możesz wykonać akcję magiczną, aby zastąpić wybraną opcję inną. Adaptacja wodna. Wyrastają ci skrzela i pajęczyny między palcami. Możesz oddychać pod wodą i zyskujesz prędkość pływania równą twojej szybkości. Zmiana wyglądu. Zmieniasz swój wygląd. Ty decydujesz o swoim wyglądzie, w tym o wzroście, wadze, rysach twarzy, brzmieniu głosu, długości włosów, kolorze i innych cechach wyróżniających. Możesz upodobnić się do przedstawiciela innego gatunku, choć żadna z twoich statystyk nie ulegnie zmianie. Nie możesz pojawić się jako istota o innym rozmiarze, a twój podstawowy kształt pozostaje taki sam; jeśli jesteś dwunożny, nie możesz użyć tego zaklęcia, aby na przykład stać się czworonożnym. Na czas trwania zaklęcia możesz wykonać akcję magiczną, aby ponownie zmienić swój wygląd w ten sposób. Broń naturalna. Wyrastają ci pazury (tnące), kły (kłujące), rogi (kłujące) lub kopyta (tnące). Kiedy używasz Ciosu Bez Broni, aby zadać obrażenia tym nowym wzrostem, zadaje on 1d6 obrażeń typu podanego w nawiasie, zamiast zadawać normalne obrażenia dla Ciosu Bez Broni, a do rzutów ataku i obrażeń używasz modyfikatora zdolności rzucania czarów, zamiast używać Siły."
"Przyjaciel Zwierząt";"1";"Akcja";"24 godz.";"Uroków";"False";"9m (6)";"W, S, M (kęs jedzenia)";"Bard, Druid, Ranger";"";"Bard (Lore), Cleric (Nature)";"Celuj w bestię, którą widzisz w zasięgu. Cel musi odnieść sukces w rzucie na Mądrość lub zostać zauroczony na czas trwania zaklęcia. Jeśli ty lub jeden z twoich sojuszników zada obrażenia celowi, zaklęcie wygasa.

Na wyższych poziomach: Użycie miejsca na zaklęcie wyższego poziomu. Możesz obrać za cel jedną dodatkową bestię za każdy slot zaklęć na poziomie wyższym niż 1."
"Zwierzęcy posłaniec";"2";"Akcja";"24 godz.";"Uroków";"True";"9m (6)";"W, S, M (kęs jedzenia)";"Bard, Druid, Ranger";"";"Bard (Lore)";"Wybrana przez ciebie Malutka Bestia, którą widzisz w zasięgu, musi odnieść sukces w rzucie obronnym na Charyzmę, w przeciwnym razie spróbuje dostarczyć ci wiadomość (jeśli wskaźnik wyzwania celu nie wynosi 0, automatycznie się powiedzie). Określasz miejsce, które odwiedziłeś i odbiorcę, który pasuje do ogólnego opisu, takiego jak ""osoba ubrana w mundur straży miejskiej"" lub ""rudowłosy krasnolud w spiczastym kapeluszu"". Przekazujesz również wiadomość składającą się z maksymalnie dwudziestu pięciu słów. Bestia podróżuje przez określony czas w kierunku wskazanego miejsca, pokonując około 25 mil w ciągu 24 godzin lub 50 mil, jeśli potrafi latać. Kiedy Bestia dotrze na miejsce, przekazuje wiadomość opisanemu przez ciebie stworzeniu, naśladując twoją komunikację. Jeśli Bestia nie dotrze do celu przed końcem zaklęcia, wiadomość zostanie utracona, a Bestia powróci do miejsca, w którym rzucono zaklęcie.

Na wyższych poziomach: Użycie miejsca na zaklęcie wyższego poziomu. Czas trwania zaklęcia wzrasta o 48 godzin za każdy slot zaklęć na poziomie wyższym niż 2."
"Kształty zwierząt";"8";"Akcja";"24 godz.";"Przemiany";"False";"9m (6)";"W, S";"Druid";"";"";"Wybierz dowolną liczbę chętnych stworzeń, które widzisz w swoim zasięgu. Każdy cel zmienia kształt w wybraną przez ciebie dużą lub mniejszą bestię o współczynniku wyzwania równym 4 lub niższym. Możesz wybrać inną formę dla każdego celu. W późniejszych turach możesz wykonać akcję Magii, aby ponownie przekształcić cele. Statystyki celu w grze zostają zastąpione statystykami wybranej Bestii, ale cel zachowuje swój typ stworzenia, punkty wytrzymałości, kości punktów wytrzymałości, wyrównanie, zdolność komunikacji oraz wyniki Inteligencji, Mądrości i Charyzmy. Działania celu są ograniczone przez anatomię Bestii i nie może on rzucać zaklęć. Ekwipunek celu wtapia się w nową formę, a cel nie może używać żadnego z tego ekwipunku podczas przebywania w tej formie. Cel zyskuje liczbę tymczasowych punktów wytrzymałości równą punktom wytrzymałości pierwszej formy, w którą się zmienił. Te tymczasowe punkty wytrzymałości znikają, jeśli jakieś pozostaną po zakończeniu zaklęcia. Transformacja trwa przez cały czas jej trwania lub do momentu, w którym cel zakończy ją w ramach Akcji Premiowej."
